,Direction,Station Code,Station ID,Chinese Name,English Name,Sequence,latitude,longitude,station_pair,Line Name
5,UT,HOK,44.0,香港,Hong Kong,1.0,22.284377,114.158056,"('HOK', 'Hong Kong')",Airport Express
6,UT,KOW,45.0,九龍,Kowloon,2.0,22.304306,114.161475,"('KOW', 'Kowloon')",Airport Express
7,UT,TSY,46.0,青衣,Tsing Yi,3.0,22.3584978,114.107672,"('TSY', 'Tsing Yi')",Airport Express
8,UT,AIR,47.0,機場,Airport,4.0,22.284377,114.158056,"('AIR', 'Airport')",Airport Express
9,UT,AWE,56.0,博覽館,AsiaWorld-Expo,5.0,22.321343,113.943288,"('AWE', 'AsiaWorld-Expo')",Airport Express
12,UT,DIS,55.0,迪士尼,Disneyland Resort,1.0,22.3153543,114.0451876,"('DIS', 'Disneyland Resort')",Disneyland Resort Line
13,UT,SUN,54.0,欣澳,Sunny Bay,2.0,22.331731,114.0289607,"('SUN', 'Sunny Bay')",Disneyland Resort Line
56,UT,ADM,2.0,金鐘,Admiralty,1.0,22.278363,114.164485,"('ADM', 'Admiralty')",East Rail Line
57,UT,EXC,94.0,會展,Exhibition Centre,2.0,22.2817405,114.174836,"('EXC', 'Exhibition Centre')",East Rail Line
58,UT,HUH,64.0,紅磡,Hung Hom,3.0,22.3027389,114.1821136,"('HUH', 'Hung Hom')",East Rail Line
59,UT,MKK,65.0,旺角東,Mong Kok East,4.0,22.32207,114.17225,"('MKK', 'Mong Kok East')",East Rail Line
60,UT,KOT,8.0,九龍塘,Kowloon Tong,5.0,22.336918,114.175852,"('KOT', 'Kowloon Tong')",East Rail Line
61,UT,TAW,67.0,大圍,Tai Wai,6.0,22.373284,114.178152,"('TAW', 'Tai Wai')",East Rail Line
62,UT,SHT,68.0,沙田,Sha Tin,7.0,22.383936,114.187994,"('SHT', 'Sha Tin')",East Rail Line
63,UT,FOT,69.0,火炭,Fo Tan,8.0,22.3959,114.198917,"('FOT', 'Fo Tan')",East Rail Line
64,UT,UNI,71.0,大學,University,9.0,22.413639,114.210284,"('UNI', 'University')",East Rail Line
65,UT,TAP,72.0,大埔墟,Tai Po Market,10.0,22.4439256,114.1704519,"('TAP', 'Tai Po Market')",East Rail Line
66,UT,TWO,73.0,太和,Tai Wo,11.0,22.450572,114.16094,"('TWO', 'Tai Wo')",East Rail Line
67,UT,FAN,74.0,粉嶺,Fanling,12.0,22.4920033,114.1388264,"('FAN', 'Fanling')",East Rail Line
68,UT,SHS,75.0,上水,Sheung Shui,13.0,22.501007,114.1282358,"('SHS', 'Sheung Shui')",East Rail Line
69,UT,LOW,76.0,羅湖,Lo Wu,14.0,22.529588,114.113799,"('LOW', 'Lo Wu')",East Rail Line
