Company Name,Company Address,District,Telephone Number,Latitude,Longitude
A-LIVELY COMMUNITY PHARMACY O/B ABERDEEN KAI-FONG WELFARE ASSOCIATION LIMITED( 良躍社區藥房 ),"SHOP NO. 114, G/F, WAH ON HOUSE, WAH FU (I) ESTATE,ABERDEEN,HK",ABERDEEN,35505460,22.2515558,114.1385928
ACP MEDICATION MANAGEMENT CENTRE O/B ACTIVECAREPHARMACY LIMITED( 明心大藥房藥物管理中心 ),"WORKSHOPS E2, E3 & E4, 19/F, WAH LOK INDUSTRIAL CENTRE, PHASE II, 31-35 SHAN MEI STREET,SHATIN,NT",SHATIN,39762668,22.398455,114.191027
AFFIANCE PHARMACY LIMITED( 誠德大藥房有限公司 ),"SHOP 7, GROUND FLOOR, ALBERT HOUSE, 26 CHENGTU ROAD,ABERDEEN,HK",ABERDEEN,25553337,22.248646,114.154863
APOLLO DISPENSARY( 宇宙大葯房 ),"SHOP B, G/F, 152 CASTLE PEAK ROAD,SHAM SHUI PO,KLN",SHAM SHUI PO,27255100,22.335843,114.1598878
ATHENA DISPENSARY O/B ATHENA DISPENSARY LIMITED( 春生厚藥房 ),"SHOP I, G/F & COCKLOFT, HING TAT MANSION, 351 NGAU TAU KOK ROAD,NGAU TAU KOK,KLN",NGAU TAU KOK,23899380,22.3148761,114.2227267
ATHENA DISPENSARY O/B ATHENA DISPENSARY LIMITED( 春生厚參茸中西藥房 ),"FLAT 306-307, PO KAN HOUSE, PO LAM ESTATE, TSEUNG KWAN O,NT",TSEUNG KWAN O,27118789,22.3248448,114.2559991
ATHENA DISPENSARY O/B ATHENA DISPENSARY LIMITED( 春生厚 ),"SHOP B012, GROUND FLOOR, CHING LONG SHOPPING CENTRE, KAI TAK, KOWLOON CITY,KLN",KOWLOON CITY,27590198,22.3307819,114.204406
BEST CHAIN PHARMACY LIMITED( 強鍵西藥房有限公司 ),"G/F , 100A CASTLE PEAK ROAD,YUEN LONG,NT",YUEN LONG,26631068,22.4443139,114.0291579
BEST HEALTH DISPENSARY O/B BEST HEALTH (HK) DISPENSARY LIMITED( 百鍵藥房 ),"G/F, NO. 47 FU HING STREET,SHEUNG SHUI,NT",SHEUNG SHUI,31240088,22.5039635,114.1269649
BO HONG DISPENSARY O/B BO HONG DISPENSARY COMPANY LIMITED( 寶康中西藥房 ),"G/F, 51 TEXACO ROAD,TSUEN WAN,NT",TSUEN WAN,24227778,22.3684907,114.1223717
